"gender","title","discipline","last_published","academia_length","phd_dissertation","bat_1","bat_2","bat_3","bat_4","ppqr_1","ppqr_2","ppqr_3","ppqr_4","ppqr_5","ppqr_6","ppqr_7","ppqr_8","ppqr_9","ppqr_10","ppqr_11","ppqr_12","ppqr_13","ppqr_14","ppqr_15","ppqr_16","ppqr_17","ppqr_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_2","role_ambiguity_3","role_ambiguity_4","role_ambiguity_5","role_ambiguity_6","role_ambiguity_7","role_ambiguity_8","role_ambiguity_9","role_ambiguity_10","role_ambiguity_11","role_ambiguity_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","anonym_id"
"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years","","Sometimes","Sometimes","Rarely","Sometimes","Strongly disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Often","Often","Sometimes","Sometimes","Often","Often","Rarely","Sometimes","Sometimes","Rarely","Often","Always","Often","Somewhat acceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Completely acceptable","Sometimes","Sometimes","Sometimes","Often","Often","Often","Often","Often","Agree","Neither agree nor disagree","Agree","Slightly agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly disagree","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",102
"Woman","Associate Professor","Non-STEM","This year","More than 10 years","","Sometimes","Rarely","Never","Often","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Always","Rarely","Always","Rarely","Sometimes","Often","Never","Sometimes","Always","Never","Rarely","Always","Sometimes","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Always","Often","Sometimes","Always","Often","Often","Often","Sometimes","Neither agree nor disagree","Neither agree nor disagree","Slightly disagree","Slightly agree","Slightly disagree","Slightly disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly disagree","Disagree","Slightly dissatisfied","Dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Slightly dissatisfied",103
"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Often","Rarely","Rarely","Sometimes","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Sometimes","Never","Often","Never","Always","Always","Often","Always","Always","Sometimes","Rarely","Often","Sometimes","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Often","Often","Rarely","Often","Sometimes","Often","Often","Often","Disagree","Agree","Disagree","Slightly disagree","Agree","Slightly disagree","Agree","Slightly disagree","Disagree","Slightly agree","Slightly disagree","Slightly agree","Satisfied","Satisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly satisfied","Slightly satisfied",104
"Woman","This does not apply to me","Non-STEM","This year","Less than 1 year","","Never","Never","Never","Never","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Rarely","Sometimes","Always","Always","Sometimes","Always","Always","Sometimes","Always","Often","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Often","Often","Often","Often","Often","Often","Often","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly agree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly agree","Slightly agree","Neither agree nor disagree","Neither agree nor disagree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",105
"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","6-10 years","","Sometimes","Rarely","Rarely","Sometimes","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Often","Sometimes","Always","Always","Often","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat acceptable","Completely unacceptable","Completely unacceptable","Somewhat acceptable","Often","Often","Sometimes","Often","Rarely","Often","Often","Sometimes","Slightly agree","Slightly agree","Slightly disagree","Slightly agree","Slightly agree","Neither agree nor disagree","Slightly agree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly agree","Slightly satisfied","Slightly satisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied",106
"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Sometimes","Disagree","Disagree","Agree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Disagree","Strongly disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Often","Often","Often","Rarely","Often","Sometimes","Sometimes","Always","Always","Always","Sometimes","Always","Often","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Often","Often","Always","Often","Often","Often","Often","Always","Agree","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Agree","Agree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Satisfied","Satisfied","Dissatisfied","Slightly satisfied","Slightly satisfied","Satisfied",107
"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Rarely","Rarely","Sometimes","Neither agree nor disagree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Often","Often","Rarely","Often","Rarely","Rarely","Never","Often","Often","Rarely","Rarely","Often","Sometimes","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat acceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Often","Always","Always","Always","Often","Always","Often","Sometimes","Agree","Slightly agree","Slightly agree","Strongly agree","Disagree","Agree","Agree","Agree","Strongly disagree","Strongly disagree","Agree","Disagree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Satisfied",108
"Woman","Full Professor","Non-STEM","This year","More than 10 years","","Never","Never","Rarely","Rarely","Strongly disagree","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Sometimes","Sometimes","Rarely","Often","Sometimes","Sometimes","Rarely","Always","Often","Sometimes","Often","Always","Often","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Always","Often","Sometimes","Often","Sometimes","Often","Always","Always","Agree","Disagree","Agree","Agree","Disagree","Agree","Slightly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Slightly satisfied","Satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Satisfied",109
"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years","","Often","Often","Often","Often","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Sometimes","Sometimes","Sometimes","Often","Rarely","Rarely","Rarely","Often","Often","Never","Always","Sometimes","Sometimes","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Slightly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied",110
"Woman","Post Doc","Non-STEM","This year","More than 10 years","","Sometimes","Rarely","Never","Never","Disagree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Never","Often","Often","Rarely","Often","Always","Always","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Often","Always","Often","Often","Often","Often","Always","Often","Slightly agree","Slightly agree","Slightly agree","Agree","Slightly disagree","Neither agree nor disagree","Slightly agree","Slightly agree","Disagree","Disagree","Agree","Slightly disagree","Slightly dissatisfied","Slightly dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied",111
"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Often","Sometimes","Rarely","Sometimes","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Always","Often","Often","Never","Often","Often","Often","Sometimes","Often","Sometimes","Often","Often","Often","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Often","Sometimes","Rarely","Often","Sometimes","Always","Often","Sometimes","Disagree","Agree","Neither agree nor disagree","Slightly disagree","Slightly agree","Disagree","Agree","Disagree","Slightly agree","Neither agree nor disagree","Slightly disagree","Strongly disagree","Dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly satisfied","Slightly satisfied",112
